Lifespan Number → ,,WAMLS1`,,,,,,,,,,,,,,,,Lifespan Description:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Worm Strain → ,,,yfg-1,,Date Eggs Picked → ,,,,,06/21/23,,,Temp → ,,20c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bacteria → ,,PAD12,,,Date FUDR Added → ,,,,,06/23/23,,,Color → ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Treatment → ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,2023-07-01,2023-07-02,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07,2023-07-08,2023-07-09,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Initials,JT,JT,JT,JT,JT,JT,JT,,,AA,,JT,JT,JT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QR,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,A,2,2,2,2,2,2,2,,,2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,0,0,,,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,9,9,9,9,9,9,9,,,8,,6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,0,0,,,0,,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,0,0,0,0,0,0,0,,,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,13,13,13,13,13,13,13,,,12,,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,0,0,,,0,,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,0,0,0,0,0,0,0,,,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,2,2,2,2,2,2,2,,,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,0,0,,,0,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,13,13,13,13,13,13,13,,,11,,8,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,0,0,,,0,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,16,16,16,13,13,12,11,,,9,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,1,1,,,0,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,,,0,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,,,0,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,0,0,0,3,0,0,0,,,0,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,12,12,12,12,12,12,12,,,11,,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,0,0,,,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,11,11,11,11,11,11,11,,,9,,7,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,0,0,,,1,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
