Lifespan Number → ,WLSAUTOPLOT,,,,,,,,,,,,,,,,,Lifespan Description:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Worm Strain → ,yfg-3,,,,Date Eggs Picked → ,06/21/23,,,,,,,Temp → ,20c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Alive,4,4,4,4,4,4,4,4,,4,,3,3,3,,3,2,2,1,1,1,1,1,1,1,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
7,Dead,0,0,0,0,0,0,0,0,,0,,1,0,0,,0,1,0,1,0,0,0,0,0,0,1,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
7,Missing-Exploded,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
7,Missing-Bagged,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
7,Missing,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
8,Alive,7,7,7,7,7,7,7,6,,6,,5,5,5,,5,5,4,3,1,1,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
8,Dead,0,0,0,0,0,0,0,1,,0,,1,0,0,,0,0,1,1,2,0,1,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
8,Missing-Exploded,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
8,Missing-Bagged,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
8,Missing,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
9,Alive,9,9,9,9,9,9,9,8,,7,,6,6,4,,4,3,2,2,2,2,2,2,1,1,1,,1,1,,1,1,1,0,,,,,,,,,,,,,,,,
9,Dead,0,0,0,0,0,0,0,1,,1,,1,0,2,,0,1,1,0,0,0,0,0,1,0,0,,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
9,Missing-Exploded,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
9,Missing-Bagged,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
9,Missing,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
